Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
135020,Rafov,93.66252779836917,5.03169014084507,112.48869532987398,0.0,0.0,0.0,0.0,0.0,0.0
53103,Lapusnicu Mare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12144,Sagu,0.0,329.36282760278914,11.932916566482328,0.0,0.0,0.0,0.0,375.3726857417648,0.0
167794,Oras Brezoi,9.154144718602717,15.650263376767397,362.87662877737733,0.0,0.0,0.0,0.0,7.5081785417244244,0.0
28530,Chislaz,0.0,1206.8238260321461,0.0,0.0,0.0,0.0,0.0,112.00882445635045,0.0
85877,Subcetate,0.0,0.0,4781.251334044824,0.0,0.0,0.0,0.0,0.0,0.0
3958,Cetatea De Balta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110456,Balta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159614,Municipiul Tulcea,1628.6814712469497,840.6196307397462,25.46574258749596,0.8936231851761062,6195.454087601814,7680.236431301325,5.282159849354296,159.97851738776782,448.1294639375132
94081,Movila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44934,Balta Alba,0.2970257234726688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61318,Cobadin,197.874302558164,0.0,24.48563006632277,0.0,0.0,0.0,0.0,6.673018212443415,0.0
20359,Letea Veche,173.96074170650442,0.0,11.835144140228886,0.0,0.0,959.565551209619,0.0,14.909025061567434,0.0
53130,Luncavita,0.0,26.063088897992625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151433,Comanesti,0.0,0.0,1862.3277240218763,0.0,0.0,0.0,0.0,0.0,0.0
102286,Crevedia,10.997595741026963,14.651725914477074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151442,Iaslovat,437.61470588235295,0.0,0.0,0.0,0.0,0.0,0.0,46.044796380090496,0.0
36756,Corni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69526,Voinesti,1.167828685258964,0.0,2.3424634794156707,0.0,0.0,0.0,0.0,0.0,0.0
151451,Ciocanesti,76.52831491712708,0.0,608.2479281767955,0.0,0.0,0.0,0.0,0.0,0.0
94107,Munteni-Buzau,10.814814814814815,138.5997150997151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159650,Oras Babadag,182.3833521021021,0.0,91.6721096096096,0.0,0.0,0.9068130630630631,0.0,355.09206081081084,0.0
85920,Suseni,519.8537047564904,0.0,2943.574947887057,0.0,0.0,0.0,0.0,0.0,0.0
118691,Panet,4883.248773307164,0.0,0.0,0.0,0.0,0.0,0.0,55.216225057245666,0.0
151460,Serbauti,24.033007334963326,0.0,0.0,5.2417481662591685,0.0,0.0,0.0,0.0,0.0
4008,Ciuruleasa,0.0,0.0,652.5534223706177,0.0,0.0,0.0,0.0,137.8338898163606,0.0
